"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","605","2766"
"3","","SD","32","191"
"4","","Range","567-655","2464-2979"
"5","","n","5","6"
"6","TA","(uM)","1319","1321"
"7","","SD","23","29"
"8","","Range","1294-1337","1283-1351"
"9","","n","5","6"
"10","[CO32-]","(uM)","41","10"
"11","","SD","1","1"
"12","","Range","40-43","9-12"
"13","","n","5","6"
"14","[HCO3-]","(uM)","1214","1295"
"15","","SD","22","28"
"16","","Range","1187-1235","1259-1325"
"17","","n","5","6"
"18","[CO2](aq)","(uM)","22","98"
"19","","SD","1","7"
"20","","Range","20-23","88-106"
"21","","n","5","6"
"22","SatCalcite","","1.096","0.273"
"23","","SD","0.038","0.025"
"24","","Range","1.051-1.135","0.249-0.318"
"25","","n","5","6"
"26","SatAragonite","","0.672","0.167"
"27","","SD","0.023","0.015"
"28","","Range","0.644-0.695","0.153-0.195"
"29","","n","5","6"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","20.2","20.1"
"32","","SD","0.2","0.2"
"33","","Range","20-20.5","19.9-20.5"
"34","","n","5","6"
"35","Temperature","(C)","19.4","19.4"
"36","","SD","0.1","0.1"
"37","","Range","19.3-19.5","19.3-19.5"
"38","","n","5","6"
"39","pH","(Total)","7.73","7.1"
"40","","SD","0.02","0.03"
"41","","Range","7.7-7.75","7.07-7.16"
"42","","n","5","6"
"43","DIC","(uM)","1277","1404"
"44","","SD","23","28"
"45","","Range","1249-1299","1371-1435"
"46","","n","5","6"
"47","TA","(uM)","1536","1548"
"48","","SD","14","19"
"49","","Range","1513-1548","1526-1578"
"50","","n","5","6"
