"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","694","3326"
"3","","SD","95","372"
"4","","Range","558-771","2905-3715"
"5","","n","5","5"
"6","TA","(uM)","1328","1254"
"7","","SD","49","49"
"8","","Range","1293-1413","1168-1288"
"9","","n","5","5"
"10","[CO32-]","(uM)","37","8"
"11","","SD","4","1"
"12","","Range","33-43","7-9"
"13","","n","5","5"
"14","[HCO3-]","(uM)","1234","1234"
"15","","SD","49","48"
"16","","Range","1195-1317","1148-1265"
"17","","n","5","5"
"18","[CO2](aq)","(uM)","25","120"
"19","","SD","3","13"
"20","","Range","20-28","104-134"
"21","","n","5","5"
"22","SatCalcite","","0.979","0.203"
"23","","SD","0.112","0.021"
"24","","Range","0.87-1.135","0.186-0.239"
"25","","n","5","5"
"26","SatAragonite","","0.599","0.124"
"27","","SD","0.068","0.013"
"28","","Range","0.533-0.695","0.114-0.146"
"29","","n","5","5"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","20","19.9"
"32","","SD","0.1","0.1"
"33","","Range","19.8-20.2","19.8-20"
"34","","n","5","5"
"35","Temperature","(C)","19.1","19.1"
"36","","SD","0.1","0"
"37","","Range","19-19.2","19-19.1"
"38","","n","5","5"
"39","pH","(Total)","7.68","7"
"40","","SD","0.05","0.04"
"41","","Range","7.63-7.76","6.96-7.06"
"42","","n","5","5"
"43","DIC","(uM)","1296","1362"
"44","","SD","51","57"
"45","","Range","1257-1382","1260-1398"
"46","","n","5","5"
"47","TA","(uM)","1512","1542"
"48","","SD","41","12"
"49","","Range","1464-1548","1529-1554"
"50","","n","5","5"
